CVE,CVE-Description,CVSSv2 Base (nvd),CVSSv3.1 Base (nvd),QID,Title,Severity,KB Severity,Type Detected,Last Detected,First Detected,Protocol,Port,Status,Asset Id,Asset Name,Asset IPV4,Asset IPV6,Solution,Asset Tags,Disabled,Ignored,QVS Score,Detection AGE,Published Date,Patch Released,Category,CVSS Rating Labels,RTI,Operating System,Last Fixed,Last Reopened,Times Detected,Threat,Vuln Patchable,Asset Critical Score,TruRisk Score,Vulnerability Tags,Results
CVE-2019-1075,"A spoofing vulnerability exists in ASP.NET Core that could lead to an open redirect, aka 'ASP.NET Core Spoofing Vulnerability'.",5.8,6.1,91551,Microsoft ASP.NET Core Spoofing Vulnerability July 2019,3,3,Confirmed,"Mar 3, 2025","Feb 6, 2025",'-,'-,ACTIVE,282629861,ptprt-srv-phcweb.portugal.pt,10.200.1.98,,Microsoft has released a patch CVE-2019-1075(https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-1075),"PT,Cloud Agent,All,Windows-PT",No,No,30,24,"Jul 10, 2019","Jul 9, 2019",Windows,MEDIUM,Privilege Escalation,Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,149,An attacker who successfully exploited the vulnerability could redirect a targeted user to a malicious website.,Yes,2,143,,"fbe49b396bf8ece2998791dedca487e581e2619c
2.2.3
 
%programfiles(x86)%\dotnet\shared\Microsoft.AspNETCore.App\2.2.3\.version 
fbe49b396bf8ece2998791dedca487e581e2619c
2.2.3
 
%programfiles%\dotnet\shared\Microsoft.AspNETCore.App\2.2.3\.version
"
CVE-2019-1301,"A denial of service vulnerability exists when .NET Core improperly handles web requests, aka '.NET Core Denial of Service Vulnerability'.",5,7.5,91571,Microsoft .NET Core Security Update September 2019,3,3,Confirmed,"Mar 3, 2025","Feb 6, 2025",'-,'-,ACTIVE,282629861,ptprt-srv-phcweb.portugal.pt,10.200.1.98,,Microsoft has released an update. Please refer to vendor security advisory .NET Core CVE-2019-1301 for more information.(https://portal.msrc.microsoft.com/en-us/security-guidance/advisory/CVE-2019-1301),"PT,Cloud Agent,All,Windows-PT",No,No,35,24,"Sep 11, 2019","Sep 10, 2019",Windows,HIGH,Easy Exploit,Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,149,An attacker who successfully exploited this vulnerability could cause a denial of service against a .NET Core web application.,No,2,143,,"6b8ad509b6a48bcca07e8c413d6ffed8988547cc
2.2.3

%programfiles(x86)%\dotnet\shared\Microsoft.NETCore.App\2.2.3\.version
%programfiles%\dotnet\shared\Microsoft.NETCore.App\2.2.3\.version
"
CVE-2019-0815,"A denial of service vulnerability exists when ASP.NET Core improperly handles web requests, aka 'ASP.NET Core Denial of Service Vulnerability'.",5,7.5,91524,Microsoft ASP.NET Core Denial Of Service Vulnerability April 2019,3,3,Potential,"Mar 3, 2025","Feb 6, 2025",'-,'-,ACTIVE,282629861,ptprt-srv-phcweb.portugal.pt,10.200.1.98,,Microsoft has released a patch CVE-2019-0815(https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0815),"PT,Cloud Agent,All,Windows-PT",No,No,35,24,"Apr 10, 2019","Apr 9, 2019",Windows,HIGH,Easy Exploit,Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,149,An attacker who successfully exploited this vulnerability can cause a denial of service against an ASP.NET Core web application.,Yes,2,143,,"%ProgramFiles(x86)%\IIS\Asp.Net Core Module\V2\aspnetcorev2.dll  Version is  12.2.19024.2 
%ProgramFiles%\IIS\Asp.Net Core Module\V2\aspnetcorev2.dll  Version is  12.2.19024.2
"
CVE-2022-21449,"Vulnerability in the Oracle Java SE, Oracle GraalVM Enterprise Edition product of Oracle Java SE (component: Libraries). Supported versions that are affected are Oracle Java SE: 17.0.2 and 18; Oracle GraalVM Enterprise Edition: 21.3.1 and 22.0.0.2. Easily exploitable vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized creation, deletion or modification access to critical data or all Oracle Java SE, Oracle GraalVM Enterprise Edition accessible data. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets, that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS 3.1 Base Score 7.5 (Integrity impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N).",5,7.5,376564,Oracle Java Standard Edition (SE) ECDSA Vulnerability,4,4,Confirmed,"Mar 3, 2025","Feb 6, 2025",'-,'-,ACTIVE,282629861,ptprt-srv-phcweb.portugal.pt,10.200.1.98,,"The vendor has released revised updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle JAVA SE (The vendor has released revised updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpuapr2022.html#AppendixJAVA)","PT,Cloud Agent,All,Windows-PT",No,No,42,24,"Apr 26, 2022","Apr 21, 2022",Local,HIGH,"Active Attacks,Easy Exploit,Public Exploit,Unauthenticated Exploitation",Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,149,Successful exploitation could allow an attacker to affect the integrity of data on the target system.<P>,Yes,2,143,,"C:\Program Files\Eclipse Foundation\jdk-16.0.2.7-hotspot\bin\server\jvm.dll product version is 16.0.2.0
"
CVE-2008-3015,"Integer overflow in gdiplus.dll in GDI+ in Microsoft Office XP SP3, Office 2003 SP2 and SP3, 2007 Microsoft Office System Gold and SP1, Visio 2002 SP2, PowerPoint Viewer 2003, Works 8, Digital Image Suite 2006, SQL Server 2000 Reporting Services SP2, SQL Server 2005 SP2, Report Viewer 2005 SP1 and 2008, and Forefront Client Security 1.0 allows remote attackers to execute arbitrary code via a BMP image file with a malformed BitMapInfoHeader that triggers a buffer overflow, aka ""GDI+ BMP Integer Overflow Vulnerability.""",9.3,'-,90455,Microsoft Multiple Products GDI+ Remote Code Execution Vulnerability (MS08-052),5,5,Confirmed,"Mar 3, 2025","Feb 6, 2025",'-,'-,ACTIVE,282629861,ptprt-srv-phcweb.portugal.pt,10.200.1.98,,"Refer to Microsoft Security Bulletin MS08-052 for more information on this issue.

Microsoft has rated this vulnerability as Critical.(https://docs.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-052
<P>
Microsoft has rated this vulnerability as Critical.)","PT,Cloud Agent,All,Windows-PT",No,No,75,24,"Sep 18, 2008","Sep 9, 2008",Windows,CRITICAL,"Active Attacks,Denial Of Service,High Data Loss,High Lateral Movement,Malware Name,Public Exploit,Predicted High Risk,Remote Code Execution",Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,149,"If a user is logged in with administrative user rights, an attacker who successfully exploits this vulnerability could take complete control of the affected system. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights. Users whose accounts are configured to have fewer user rights on the system could be less impacted than users who operate with administrative user rights.",Yes,2,143,,"%ProgramFiles(x86)%\Common Files\Microsoft Shared\VFP\gdiplus.dll version is  5.1.3102.1360 .
"
CVE-2007-5348,"Integer overflow in GDI+ in Microsoft Internet Explorer 6 SP1, Windows XP SP2 and SP3, Server 2003 SP1 and SP2, Vista Gold and SP1, Server 2008, Office XP SP3, Office 2003 SP2 and SP3, 2007 Microsoft Office System Gold and SP1, Visio 2002 SP2, PowerPoint Viewer 2003, Works 8, Digital Image Suite 2006, SQL Server 2000 Reporting Services SP2, SQL Server 2005 SP2, Report Viewer 2005 SP1 and 2008, and Forefront Client Security 1.0 allows remote attackers to execute arbitrary code via an image file with crafted gradient sizes in gradient fill input, which triggers a heap-based buffer overflow related to GdiPlus.dll and VGX.DLL, aka ""GDI+ VML Buffer Overrun Vulnerability.""",9.3,'-,90455,Microsoft Multiple Products GDI+ Remote Code Execution Vulnerability (MS08-052),5,5,Confirmed,"Mar 3, 2025","Feb 6, 2025",'-,'-,ACTIVE,282629861,ptprt-srv-phcweb.portugal.pt,10.200.1.98,,"Refer to Microsoft Security Bulletin MS08-052 for more information on this issue.

Microsoft has rated this vulnerability as Critical.(https://docs.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-052
<P>
Microsoft has rated this vulnerability as Critical.)","PT,Cloud Agent,All,Windows-PT",No,No,72,24,"Sep 18, 2008","Sep 9, 2008",Windows,CRITICAL,"Active Attacks,Denial Of Service,High Data Loss,High Lateral Movement,Malware Name,Public Exploit,Predicted High Risk,Remote Code Execution",Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,149,"If a user is logged in with administrative user rights, an attacker who successfully exploits this vulnerability could take complete control of the affected system. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights. Users whose accounts are configured to have fewer user rights on the system could be less impacted than users who operate with administrative user rights.",Yes,2,143,,"%ProgramFiles(x86)%\Common Files\Microsoft Shared\VFP\gdiplus.dll version is  5.1.3102.1360 .
"
CVE-2008-3014,"Buffer overflow in gdiplus.dll in GDI+ in Microsoft Internet Explorer 6 SP1, Windows XP SP2 and SP3, Server 2003 SP1 and SP2, Vista Gold and SP1, Server 2008, Office XP SP3, Office 2003 SP2 and SP3, 2007 Microsoft Office System Gold and SP1, Visio 2002 SP2, PowerPoint Viewer 2003, Works 8, Digital Image Suite 2006, SQL Server 2000 Reporting Services SP2, SQL Server 2005 SP2, Report Viewer 2005 SP1 and 2008, and Forefront Client Security 1.0 allows remote attackers to execute arbitrary code via a malformed WMF image file that triggers improper memory allocation, aka ""GDI+ WMF Buffer Overrun Vulnerability.""",9.3,'-,90455,Microsoft Multiple Products GDI+ Remote Code Execution Vulnerability (MS08-052),5,5,Confirmed,"Mar 3, 2025","Feb 6, 2025",'-,'-,ACTIVE,282629861,ptprt-srv-phcweb.portugal.pt,10.200.1.98,,"Refer to Microsoft Security Bulletin MS08-052 for more information on this issue.

Microsoft has rated this vulnerability as Critical.(https://docs.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-052
<P>
Microsoft has rated this vulnerability as Critical.)","PT,Cloud Agent,All,Windows-PT",No,No,75,24,"Sep 18, 2008","Sep 9, 2008",Windows,CRITICAL,"Active Attacks,Denial Of Service,High Data Loss,High Lateral Movement,Malware Name,Public Exploit,Predicted High Risk,Remote Code Execution",Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,149,"If a user is logged in with administrative user rights, an attacker who successfully exploits this vulnerability could take complete control of the affected system. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights. Users whose accounts are configured to have fewer user rights on the system could be less impacted than users who operate with administrative user rights.",Yes,2,143,,"%ProgramFiles(x86)%\Common Files\Microsoft Shared\VFP\gdiplus.dll version is  5.1.3102.1360 .
"
CVE-2008-3013,"gdiplus.dll in GDI+ in Microsoft Internet Explorer 6 SP1, Windows XP SP2 and SP3, Server 2003 SP1 and SP2, Vista Gold and SP1, Server 2008, Office XP SP3, Office 2003 SP2 and SP3, 2007 Microsoft Office System Gold and SP1, Visio 2002 SP2, PowerPoint Viewer 2003, Works 8, Digital Image Suite 2006, SQL Server 2000 Reporting Services SP2, SQL Server 2005 SP2, Report Viewer 2005 SP1 and 2008, and Forefront Client Security 1.0 allows remote attackers to execute arbitrary code via a malformed GIF image file containing many extension markers for graphic control extensions and subsequent unknown labels, aka ""GDI+ GIF Parsing Vulnerability.""",9.3,'-,90455,Microsoft Multiple Products GDI+ Remote Code Execution Vulnerability (MS08-052),5,5,Confirmed,"Mar 3, 2025","Feb 6, 2025",'-,'-,ACTIVE,282629861,ptprt-srv-phcweb.portugal.pt,10.200.1.98,,"Refer to Microsoft Security Bulletin MS08-052 for more information on this issue.

Microsoft has rated this vulnerability as Critical.(https://docs.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-052
<P>
Microsoft has rated this vulnerability as Critical.)","PT,Cloud Agent,All,Windows-PT",No,No,75,24,"Sep 18, 2008","Sep 9, 2008",Windows,CRITICAL,"Active Attacks,Denial Of Service,High Data Loss,High Lateral Movement,Malware Name,Public Exploit,Predicted High Risk,Remote Code Execution",Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,149,"If a user is logged in with administrative user rights, an attacker who successfully exploits this vulnerability could take complete control of the affected system. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights. Users whose accounts are configured to have fewer user rights on the system could be less impacted than users who operate with administrative user rights.",Yes,2,143,,"%ProgramFiles(x86)%\Common Files\Microsoft Shared\VFP\gdiplus.dll version is  5.1.3102.1360 .
"
CVE-2008-3012,"gdiplus.dll in GDI+ in Microsoft Internet Explorer 6 SP1, Windows XP SP2 and SP3, Server 2003 SP1 and SP2, Vista Gold and SP1, Server 2008, Office XP SP3, Office 2003 SP2 and SP3, 2007 Microsoft Office System Gold and SP1, Visio 2002 SP2, PowerPoint Viewer 2003, Works 8, Digital Image Suite 2006, SQL Server 2000 Reporting Services SP2, SQL Server 2005 SP2, Report Viewer 2005 SP1 and 2008, and Forefront Client Security 1.0 does not properly perform memory allocation, which allows remote attackers to execute arbitrary code via a malformed EMF image file, aka ""GDI+ EMF Memory Corruption Vulnerability.""",9.3,'-,90455,Microsoft Multiple Products GDI+ Remote Code Execution Vulnerability (MS08-052),5,5,Confirmed,"Mar 3, 2025","Feb 6, 2025",'-,'-,ACTIVE,282629861,ptprt-srv-phcweb.portugal.pt,10.200.1.98,,"Refer to Microsoft Security Bulletin MS08-052 for more information on this issue.

Microsoft has rated this vulnerability as Critical.(https://docs.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-052
<P>
Microsoft has rated this vulnerability as Critical.)","PT,Cloud Agent,All,Windows-PT",No,No,65,24,"Sep 18, 2008","Sep 9, 2008",Windows,CRITICAL,"Active Attacks,Denial Of Service,High Data Loss,High Lateral Movement,Malware Name,Public Exploit,Predicted High Risk,Remote Code Execution",Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,149,"If a user is logged in with administrative user rights, an attacker who successfully exploits this vulnerability could take complete control of the affected system. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights. Users whose accounts are configured to have fewer user rights on the system could be less impacted than users who operate with administrative user rights.",Yes,2,143,,"%ProgramFiles(x86)%\Common Files\Microsoft Shared\VFP\gdiplus.dll version is  5.1.3102.1360 .
"
'-,'-,'-,'-,105966,EOL/Obsolete Software: Microsoft ASP.NET 2.2 Detected,5,5,Confirmed,"Mar 3, 2025","Feb 6, 2025",'-,'-,ACTIVE,282629861,ptprt-srv-phcweb.portugal.pt,10.200.1.98,,Upgrade to the latest supported Microsoft ASP.NET. Refer to dotnet-core.(https://docs.microsoft.com/en-us/lifecycle/products/microsoft-net-and-net-core),"PT,Cloud Agent,All,Windows-PT",No,No,'-,24,"Apr 19, 2021",'-,Security Policy,HIGH,"Denial Of Service,High Data Loss,High Lateral Movement,Patch Not Available,Remote Code Execution",Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,149,"The system is at high risk of being exposed to security vulnerabilities. Since the vendor no longer provides updates, obsolete software is more vulnerable to viruses and other attacks.",No,2,143,,"fbe49b396bf8ece2998791dedca487e581e2619c
2.2.3

%programfiles(x86)%\dotnet\shared\Microsoft.AspNetCore.App\2.2.3\.version
%programfiles%\dotnet\shared\Microsoft.AspNetCore.App\2.2.3\.version
"
