CVE,CVE-Description,CVSSv2 Base (nvd),CVSSv3.1 Base (nvd),QID,Title,Severity,KB Severity,Type Detected,Last Detected,First Detected,Protocol,Port,Status,Asset Id,Asset Name,Asset IPV4,Asset IPV6,Solution,Asset Tags,Disabled,Ignored,QVS Score,Detection AGE,Published Date,Patch Released,Category,CVSS Rating Labels,RTI,Operating System,Last Fixed,Last Reopened,Times Detected,Threat,Vuln Patchable,Asset Critical Score,TruRisk Score,Vulnerability Tags,Results
'-,'-,'-,'-,6021736,Ubuntu Security Notification for Linux kernel Vulnerability (USN-7296-1),4,4,Confirmed,"Mar 3, 2025","Feb 27, 2025",'-,'-,ACTIVE,175774769,ptprt-byme-dev3.portugal.pt,10.208.230.49,fe80:0:0:0:250:56ff:feaf:c602,Refer to Ubuntu security advisory USN-7296-1 for updates and patch information.(https://ubuntu.com/security/notices/USN-7296-1),"PT,Cloud Agent,All,Linux-PT",No,No,'-,4,"Feb 26, 2025","Feb 25, 2025",Ubuntu,HIGH,High Lateral Movement,Ubuntu Linux 18.04.6,'-,'-,23,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.",Yes,2,245,,"#table cols=""3""
Package Installed_Version Required_Version
linux 4.15.0-213-generic 4.15.0-234
"
'-,'-,'-,'-,6021736,Ubuntu Security Notification for Linux kernel Vulnerability (USN-7296-1),4,4,Confirmed,"Mar 3, 2025","Feb 27, 2025",'-,'-,ACTIVE,132185238,ptprt-srv-ams01,10.208.230.239,fe80:0:0:0:250:56ff:feaf:cdc5,Refer to Ubuntu security advisory USN-7296-1 for updates and patch information.(https://ubuntu.com/security/notices/USN-7296-1),"PT,Cloud Agent,All,Linux-PT,Group-11",No,No,'-,4,"Feb 26, 2025","Feb 25, 2025",Ubuntu,HIGH,High Lateral Movement,Ubuntu Linux 18.04.6,'-,'-,22,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.",Yes,2,245,,"#table cols=""3""
Package Installed_Version Required_Version
linux 4.15.0-213-generic 4.15.0-234
"
CVE-2025-0714,"The vulnerability exists in the password storage of Mobateks MobaXterm in versions below 25.0. MobaXTerm uses an initialisation vector (IV) consisting only of zero bytes and a master key to encrypt each password individually. In the default configuration, on opening MobaXTerm, the user is prompted for their password. A derivative of the password is used as the master key. As both the master key and the IV are the same for each stored password, the AES CFB ciphertext depends only on the plaintext (the password). The static IV and master key make it easier to obtain sensitive information and to decrypt data when it is stored at rest.",'-,'-,382873,MobaTek MobaXterm Sensitive Information Disclosure Vulnerability (CVE-2025-0714),3,3,Confirmed,"Mar 3, 2025","Feb 25, 2025",'-,'-,ACTIVE,147238993,SRVCOPMGT05V.czech.net,10.43.217.205,,"The vendor has issued a fix in v25, kindly refer advisory for more details 
For more information visit MobaXterm download page
(https://cirosec.de/en/news/vulnerability-in-mobatek-mobaxterm-cve-2025-0714/
https://mobaxterm.mobatek.net/download-home-edition.html
)","CH,Cloud Agent,All",No,No,30,5,"Feb 25, 2025","Feb 19, 2025",Local,MEDIUM,"Easy Exploit,High Data Loss,Privilege Escalation",Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,35,Successful exploitation of this vulnerability may lead to disclosure of sensitive information. <P>,No,2,346,,"C:\Program Files (x86)\Mobatek\MobaXterm\MobaXterm.exe  Version is  12.4.0.4248
"
'-,'-,'-,'-,382878,Google Chrome Prior to 133.0.6943.141 Multiple Vulnerabilities,2,2,Confirmed,"Mar 3, 2025","Feb 27, 2025",'-,'-,ACTIVE,132182088,ptdtc-sv-nsnsr1.portugal.pt,"10.200.8.20,172.17.0.1",fe80:0:0:0:250:56ff:feaf:173,Refer to Chrome security advisory 133.0.6943.141 for updates and patch information.(https://chromereleases.googleblog.com/2025/02/stable-channel-update-for-desktop_25.html),"PT,Cloud Agent,All,Linux-PT,Group-9",No,No,'-,4,"Feb 26, 2025","Feb 25, 2025",Local,MEDIUM,High Lateral Movement,Ubuntu Linux 20.04.6,'-,'-,24,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.",No,2,332,,"#table cols=""3""
Package Installed_Version Required_Version
google-chrome-stable 133.0.6943.98-1 133.0.6943.141-1
"
CVE-2025-0714,"The vulnerability exists in the password storage of Mobateks MobaXterm in versions below 25.0. MobaXTerm uses an initialisation vector (IV) consisting only of zero bytes and a master key to encrypt each password individually. In the default configuration, on opening MobaXTerm, the user is prompted for their password. A derivative of the password is used as the master key. As both the master key and the IV are the same for each stored password, the AES CFB ciphertext depends only on the plaintext (the password). The static IV and master key make it easier to obtain sensitive information and to decrypt data when it is stored at rest.",'-,'-,382873,MobaTek MobaXterm Sensitive Information Disclosure Vulnerability (CVE-2025-0714),3,3,Confirmed,"Mar 3, 2025","Feb 25, 2025",'-,'-,ACTIVE,147239000,SRVCOPMGT06V.czech.net,10.43.217.206,fe80:0:0:0:7c5a:6216:cffe:2e85,"The vendor has issued a fix in v25, kindly refer advisory for more details 
For more information visit MobaXterm download page
(https://cirosec.de/en/news/vulnerability-in-mobatek-mobaxterm-cve-2025-0714/
https://mobaxterm.mobatek.net/download-home-edition.html
)","CH,Cloud Agent,All",No,No,30,5,"Feb 25, 2025","Feb 19, 2025",Local,MEDIUM,"Easy Exploit,High Data Loss,Privilege Escalation",Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,34,Successful exploitation of this vulnerability may lead to disclosure of sensitive information. <P>,No,2,342,,"C:\Program Files (x86)\Mobatek\MobaXterm\MobaXterm.exe  Version is  22.1.0.4888
"
CVE-2023-29499,"A flaw was found in GLib. GVariant deserialization fails to validate that the input conforms to the expected format, leading to denial of service.",'-,7.5,358559,Amazon Linux Security Advisory for glib2 : ALAS2-2025-2767,4,4,Confirmed,"Mar 3, 2025","Feb 26, 2025",'-,'-,ACTIVE,197494362,ptaws-sv-wspp1.portugal.pt,"10.64.192.14,172.17.0.1,172.18.0.1,172.19.0.1,172.20.0.1,172.21.0.1,172.22.0.1","fe80:0:0:0:42:6ff:fe48:1eb6,fe80:0:0:0:42:18ff:fe12:3133,fe80:0:0:0:42:77ff:fef4:172d,fe80:0:0:0:42:98ff:fe93:fa0a,fe80:0:0:0:42:9eff:fed8:34b6,fe80:0:0:0:6b:4dff:fe34:7ba,fe80:0:0:0:442:f1ff:fe67:bf96,fe80:0:0:0:8c0:c5ff:febc:4fb,fe80:0:0:0:c11:71ff:fe17:f3d9,fe80:0:0:0:18ac:56ff:fed3:f521,fe80:0:0:0:1c57:35ff:fe50:ee44,fe80:0:0:0:1c7c:aaff:fe8e:8a02,fe80:0:0:0:1cca:18ff:fe5f:7ed7,fe80:0:0:0:2c92:f8ff:fe9e:344,fe80:0:0:0:5009:6ff:fe8b:a250,fe80:0:0:0:505a:cdff:fe18:4fee,fe80:0:0:0:5817:49ff:fe5f:d042,fe80:0:0:0:6ccf:9aff:fe18:90bc,fe80:0:0:0:7091:94ff:fe87:1d16,fe80:0:0:0:8c6a:2ff:fee9:5f5d,fe80:0:0:0:8cdd:c8ff:fee4:691e,fe80:0:0:0:905e:75ff:fe54:edd3,fe80:0:0:0:9072:3fff:fe3d:5ee1,fe80:0:0:0:949b:b4ff:fee5:7d15,fe80:0:0:0:94f6:cdff:fe1e:2c25,fe80:0:0:0:a8e4:4aff:fe9a:7b42,fe80:0:0:0:cccf:b1ff:fee8:25a2,fe80:0:0:0:d831:87ff:fe7a:3f1f,fe80:0:0:0:ec66:93ff:fe67:3c76,fe80:0:0:0:fc8f:84ff:fe44:98d6","Please refer to Amazon advisory: ALAS2-2025-2767 for affected packages and patching details, or update with your package manager.(https://alas.aws.amazon.com/AL2/ALAS-2025-2767.html)","PT,Cloud Agent,All,Linux-PT",No,No,35,4,"Feb 26, 2025","Feb 12, 2025",Amazon Linux,HIGH,High Lateral Movement,Amazon Linux 2,'-,'-,10,"Successful exploitation of this vulnerability could lead to a securitybreach or affect integrity, availability, and confidentiality.",Yes,2,50,,"#table cols=""3""
Package Installed_Version Required_Version
glib2 2.56.1-9.amzn2.0.8.x86__64 2.56.1-9.amzn2.0.9
glib2 2.56.1-9.amzn2.0.8.x86__64 2.56.1-9.amzn2.0.9
"
CVE-2023-32643,"A flaw was found in GLib. The GVariant deserialization code is vulnerable to a heap buffer overflow introduced by the fix for CVE-2023-32665. This bug does not affect any released version of GLib, but does affect GLib distributors who followed the guidance of GLib developers to backport the initial fix for CVE-2023-32665.",'-,7.8,358559,Amazon Linux Security Advisory for glib2 : ALAS2-2025-2767,4,4,Confirmed,"Mar 3, 2025","Feb 26, 2025",'-,'-,ACTIVE,197494362,ptaws-sv-wspp1.portugal.pt,"10.64.192.14,172.17.0.1,172.18.0.1,172.19.0.1,172.20.0.1,172.21.0.1,172.22.0.1","fe80:0:0:0:42:6ff:fe48:1eb6,fe80:0:0:0:42:18ff:fe12:3133,fe80:0:0:0:42:77ff:fef4:172d,fe80:0:0:0:42:98ff:fe93:fa0a,fe80:0:0:0:42:9eff:fed8:34b6,fe80:0:0:0:6b:4dff:fe34:7ba,fe80:0:0:0:442:f1ff:fe67:bf96,fe80:0:0:0:8c0:c5ff:febc:4fb,fe80:0:0:0:c11:71ff:fe17:f3d9,fe80:0:0:0:18ac:56ff:fed3:f521,fe80:0:0:0:1c57:35ff:fe50:ee44,fe80:0:0:0:1c7c:aaff:fe8e:8a02,fe80:0:0:0:1cca:18ff:fe5f:7ed7,fe80:0:0:0:2c92:f8ff:fe9e:344,fe80:0:0:0:5009:6ff:fe8b:a250,fe80:0:0:0:505a:cdff:fe18:4fee,fe80:0:0:0:5817:49ff:fe5f:d042,fe80:0:0:0:6ccf:9aff:fe18:90bc,fe80:0:0:0:7091:94ff:fe87:1d16,fe80:0:0:0:8c6a:2ff:fee9:5f5d,fe80:0:0:0:8cdd:c8ff:fee4:691e,fe80:0:0:0:905e:75ff:fe54:edd3,fe80:0:0:0:9072:3fff:fe3d:5ee1,fe80:0:0:0:949b:b4ff:fee5:7d15,fe80:0:0:0:94f6:cdff:fe1e:2c25,fe80:0:0:0:a8e4:4aff:fe9a:7b42,fe80:0:0:0:cccf:b1ff:fee8:25a2,fe80:0:0:0:d831:87ff:fe7a:3f1f,fe80:0:0:0:ec66:93ff:fe67:3c76,fe80:0:0:0:fc8f:84ff:fe44:98d6","Please refer to Amazon advisory: ALAS2-2025-2767 for affected packages and patching details, or update with your package manager.(https://alas.aws.amazon.com/AL2/ALAS-2025-2767.html)","PT,Cloud Agent,All,Linux-PT",No,No,35,4,"Feb 26, 2025","Feb 12, 2025",Amazon Linux,HIGH,High Lateral Movement,Amazon Linux 2,'-,'-,10,"Successful exploitation of this vulnerability could lead to a securitybreach or affect integrity, availability, and confidentiality.",Yes,2,50,,"#table cols=""3""
Package Installed_Version Required_Version
glib2 2.56.1-9.amzn2.0.8.x86__64 2.56.1-9.amzn2.0.9
glib2 2.56.1-9.amzn2.0.8.x86__64 2.56.1-9.amzn2.0.9
"
CVE-2023-32665,"A flaw was found in GLib. GVariant deserialization is vulnerable to an exponential blowup issue where a crafted GVariant can cause excessive processing, leading to denial of service.",'-,5.5,358559,Amazon Linux Security Advisory for glib2 : ALAS2-2025-2767,4,4,Confirmed,"Mar 3, 2025","Feb 26, 2025",'-,'-,ACTIVE,197494362,ptaws-sv-wspp1.portugal.pt,"10.64.192.14,172.17.0.1,172.18.0.1,172.19.0.1,172.20.0.1,172.21.0.1,172.22.0.1","fe80:0:0:0:42:6ff:fe48:1eb6,fe80:0:0:0:42:18ff:fe12:3133,fe80:0:0:0:42:77ff:fef4:172d,fe80:0:0:0:42:98ff:fe93:fa0a,fe80:0:0:0:42:9eff:fed8:34b6,fe80:0:0:0:6b:4dff:fe34:7ba,fe80:0:0:0:442:f1ff:fe67:bf96,fe80:0:0:0:8c0:c5ff:febc:4fb,fe80:0:0:0:c11:71ff:fe17:f3d9,fe80:0:0:0:18ac:56ff:fed3:f521,fe80:0:0:0:1c57:35ff:fe50:ee44,fe80:0:0:0:1c7c:aaff:fe8e:8a02,fe80:0:0:0:1cca:18ff:fe5f:7ed7,fe80:0:0:0:2c92:f8ff:fe9e:344,fe80:0:0:0:5009:6ff:fe8b:a250,fe80:0:0:0:505a:cdff:fe18:4fee,fe80:0:0:0:5817:49ff:fe5f:d042,fe80:0:0:0:6ccf:9aff:fe18:90bc,fe80:0:0:0:7091:94ff:fe87:1d16,fe80:0:0:0:8c6a:2ff:fee9:5f5d,fe80:0:0:0:8cdd:c8ff:fee4:691e,fe80:0:0:0:905e:75ff:fe54:edd3,fe80:0:0:0:9072:3fff:fe3d:5ee1,fe80:0:0:0:949b:b4ff:fee5:7d15,fe80:0:0:0:94f6:cdff:fe1e:2c25,fe80:0:0:0:a8e4:4aff:fe9a:7b42,fe80:0:0:0:cccf:b1ff:fee8:25a2,fe80:0:0:0:d831:87ff:fe7a:3f1f,fe80:0:0:0:ec66:93ff:fe67:3c76,fe80:0:0:0:fc8f:84ff:fe44:98d6","Please refer to Amazon advisory: ALAS2-2025-2767 for affected packages and patching details, or update with your package manager.(https://alas.aws.amazon.com/AL2/ALAS-2025-2767.html)","PT,Cloud Agent,All,Linux-PT",No,No,30,4,"Feb 26, 2025","Feb 12, 2025",Amazon Linux,HIGH,High Lateral Movement,Amazon Linux 2,'-,'-,10,"Successful exploitation of this vulnerability could lead to a securitybreach or affect integrity, availability, and confidentiality.",Yes,2,50,,"#table cols=""3""
Package Installed_Version Required_Version
glib2 2.56.1-9.amzn2.0.8.x86__64 2.56.1-9.amzn2.0.9
glib2 2.56.1-9.amzn2.0.8.x86__64 2.56.1-9.amzn2.0.9
"
CVE-2023-32636,"A flaw was found in glib, where the gvariant deserialization code is vulnerable to a denial of service introduced by additional input validation added to resolve CVE-2023-29499. The offset table validation may be very slow. This bug does not affect any released version of glib but does affect glib distributors who followed the guidance of glib developers to backport the initial fix for CVE-2023-29499.",'-,7.5,358559,Amazon Linux Security Advisory for glib2 : ALAS2-2025-2767,4,4,Confirmed,"Mar 3, 2025","Feb 26, 2025",'-,'-,ACTIVE,197494362,ptaws-sv-wspp1.portugal.pt,"10.64.192.14,172.17.0.1,172.18.0.1,172.19.0.1,172.20.0.1,172.21.0.1,172.22.0.1","fe80:0:0:0:42:6ff:fe48:1eb6,fe80:0:0:0:42:18ff:fe12:3133,fe80:0:0:0:42:77ff:fef4:172d,fe80:0:0:0:42:98ff:fe93:fa0a,fe80:0:0:0:42:9eff:fed8:34b6,fe80:0:0:0:6b:4dff:fe34:7ba,fe80:0:0:0:442:f1ff:fe67:bf96,fe80:0:0:0:8c0:c5ff:febc:4fb,fe80:0:0:0:c11:71ff:fe17:f3d9,fe80:0:0:0:18ac:56ff:fed3:f521,fe80:0:0:0:1c57:35ff:fe50:ee44,fe80:0:0:0:1c7c:aaff:fe8e:8a02,fe80:0:0:0:1cca:18ff:fe5f:7ed7,fe80:0:0:0:2c92:f8ff:fe9e:344,fe80:0:0:0:5009:6ff:fe8b:a250,fe80:0:0:0:505a:cdff:fe18:4fee,fe80:0:0:0:5817:49ff:fe5f:d042,fe80:0:0:0:6ccf:9aff:fe18:90bc,fe80:0:0:0:7091:94ff:fe87:1d16,fe80:0:0:0:8c6a:2ff:fee9:5f5d,fe80:0:0:0:8cdd:c8ff:fee4:691e,fe80:0:0:0:905e:75ff:fe54:edd3,fe80:0:0:0:9072:3fff:fe3d:5ee1,fe80:0:0:0:949b:b4ff:fee5:7d15,fe80:0:0:0:94f6:cdff:fe1e:2c25,fe80:0:0:0:a8e4:4aff:fe9a:7b42,fe80:0:0:0:cccf:b1ff:fee8:25a2,fe80:0:0:0:d831:87ff:fe7a:3f1f,fe80:0:0:0:ec66:93ff:fe67:3c76,fe80:0:0:0:fc8f:84ff:fe44:98d6","Please refer to Amazon advisory: ALAS2-2025-2767 for affected packages and patching details, or update with your package manager.(https://alas.aws.amazon.com/AL2/ALAS-2025-2767.html)","PT,Cloud Agent,All,Linux-PT",No,No,35,4,"Feb 26, 2025","Feb 12, 2025",Amazon Linux,HIGH,High Lateral Movement,Amazon Linux 2,'-,'-,10,"Successful exploitation of this vulnerability could lead to a securitybreach or affect integrity, availability, and confidentiality.",Yes,2,50,,"#table cols=""3""
Package Installed_Version Required_Version
glib2 2.56.1-9.amzn2.0.8.x86__64 2.56.1-9.amzn2.0.9
glib2 2.56.1-9.amzn2.0.8.x86__64 2.56.1-9.amzn2.0.9
"
CVE-2023-32611,"A flaw was found in GLib. GVariant deserialization is vulnerable to a slowdown issue where a crafted GVariant can cause excessive processing, leading to denial of service.",'-,5.5,358559,Amazon Linux Security Advisory for glib2 : ALAS2-2025-2767,4,4,Confirmed,"Mar 3, 2025","Feb 26, 2025",'-,'-,ACTIVE,197494362,ptaws-sv-wspp1.portugal.pt,"10.64.192.14,172.17.0.1,172.18.0.1,172.19.0.1,172.20.0.1,172.21.0.1,172.22.0.1","fe80:0:0:0:42:6ff:fe48:1eb6,fe80:0:0:0:42:18ff:fe12:3133,fe80:0:0:0:42:77ff:fef4:172d,fe80:0:0:0:42:98ff:fe93:fa0a,fe80:0:0:0:42:9eff:fed8:34b6,fe80:0:0:0:6b:4dff:fe34:7ba,fe80:0:0:0:442:f1ff:fe67:bf96,fe80:0:0:0:8c0:c5ff:febc:4fb,fe80:0:0:0:c11:71ff:fe17:f3d9,fe80:0:0:0:18ac:56ff:fed3:f521,fe80:0:0:0:1c57:35ff:fe50:ee44,fe80:0:0:0:1c7c:aaff:fe8e:8a02,fe80:0:0:0:1cca:18ff:fe5f:7ed7,fe80:0:0:0:2c92:f8ff:fe9e:344,fe80:0:0:0:5009:6ff:fe8b:a250,fe80:0:0:0:505a:cdff:fe18:4fee,fe80:0:0:0:5817:49ff:fe5f:d042,fe80:0:0:0:6ccf:9aff:fe18:90bc,fe80:0:0:0:7091:94ff:fe87:1d16,fe80:0:0:0:8c6a:2ff:fee9:5f5d,fe80:0:0:0:8cdd:c8ff:fee4:691e,fe80:0:0:0:905e:75ff:fe54:edd3,fe80:0:0:0:9072:3fff:fe3d:5ee1,fe80:0:0:0:949b:b4ff:fee5:7d15,fe80:0:0:0:94f6:cdff:fe1e:2c25,fe80:0:0:0:a8e4:4aff:fe9a:7b42,fe80:0:0:0:cccf:b1ff:fee8:25a2,fe80:0:0:0:d831:87ff:fe7a:3f1f,fe80:0:0:0:ec66:93ff:fe67:3c76,fe80:0:0:0:fc8f:84ff:fe44:98d6","Please refer to Amazon advisory: ALAS2-2025-2767 for affected packages and patching details, or update with your package manager.(https://alas.aws.amazon.com/AL2/ALAS-2025-2767.html)","PT,Cloud Agent,All,Linux-PT",No,No,30,4,"Feb 26, 2025","Feb 12, 2025",Amazon Linux,HIGH,High Lateral Movement,Amazon Linux 2,'-,'-,10,"Successful exploitation of this vulnerability could lead to a securitybreach or affect integrity, availability, and confidentiality.",Yes,2,50,,"#table cols=""3""
Package Installed_Version Required_Version
glib2 2.56.1-9.amzn2.0.8.x86__64 2.56.1-9.amzn2.0.9
glib2 2.56.1-9.amzn2.0.8.x86__64 2.56.1-9.amzn2.0.9
"
